date,window,pctile,wage,n,months,wage_lag12,yoy
2025-10-01,12,p40,23.46034482758621,60819,11,22.36777777777778,0.04884557870088857
2025-11-01,12,p40,23.516666666666666,60458,11,22.455082742316783,0.047275885666157924
2025-12-01,12,p40,23.516666666666666,59890,11,22.51358024691358,0.044554726913796916
2026-01-01,12,p40,23.546296296296298,59269,11,22.593333333333334,0.04217894495262464
2026-02-01,12,p40,23.6,59036,11,22.711111111111112,0.03913894324853229
2026-03-01,12,p40,23.633333333333333,58762,11,22.761234567901234,0.03831509063493277
2026-04-01,12,p40,23.703068783068783,58683,11,22.91111111111111,0.034566532723661725
2026-05-01,12,p40,23.788888888888888,58788,11,23.02858585858586,0.033015619585670786
2026-06-01,12,p40,23.8,58607,11,23.15679012345679,0.027776296849176374
2026-07-01,12,p40,23.8,58690,11,23.253333333333334,0.023509174311926673
2026-08-01,12,p40,23.852645502645505,58473,11,23.334027777777777,0.02222581244038957
2023-01-01,12,p50,23.842222222222222,68108,12,22.433123689727463,0.06281330018877451
2023-02-01,12,p50,24.036507936507938,67633,12,22.497777777777777,0.06839476209290529
2023-03-01,12,p50,24.176923076923078,67398,12,22.503760683760685,0.07435034600104817
2023-04-01,12,p50,24.211111111111112,67120,12,22.63071658615137,0.06983404696636297
2023-05-01,12,p50,24.355555555555554,66858,12,22.80925925925926,0.06779248193553622
2023-06-01,12,p50,24.477777777777778,66462,12,22.911423001949316,0.06836566963541268
2023-07-01,12,p50,24.555555555555557,66116,12,23.05,0.06531694384188969
2023-08-01,12,p50,24.622222222222224,65952,12,23.161460905349795,0.0630686174262447
2023-09-01,12,p50,24.6517094017094,65953,12,23.3379012345679,0.05629504358324633
2023-10-01,12,p50,24.733333333333334,66002,12,23.453333333333333,0.054576463899943306
2023-11-01,12,p50,24.81031746031746,65930,12,23.594444444444445,0.05153217397154286
2023-12-01,12,p50,24.90618429189858,66148,12,23.73111111111111,0.049516146769768676
2024-01-01,12,p50,25.08034188034188,66238,12,23.842222222222222,0.0519297088408841
2024-02-01,12,p50,25.15443322109989,66452,12,24.036507936507938,0.04650947165640429
2024-03-01,12,p50,25.26111111111111,66635,12,24.176923076923078,0.044843921235903306
2024-04-01,12,p50,25.344444444444445,66821,12,24.211111111111112,0.0468104635153741
2024-05-01,12,p50,25.366666666666667,67024,12,24.355555555555554,0.041514598540146164
2024-06-01,12,p50,25.405555555555555,67340,12,24.477777777777778,0.03790285973672258
2024-07-01,12,p50,25.47716049382716,67378,12,24.555555555555557,0.03753142282554034
2024-08-01,12,p50,25.555555555555557,67453,12,24.622222222222224,0.03790613718411562
2024-09-01,12,p50,25.646913580246913,67642,12,24.6517094017094,0.04037059509019292
2024-10-01,12,p50,25.744444444444444,67623,12,24.733333333333334,0.04088050314465397
2024-11-01,12,p50,25.855555555555554,67753,12,24.81031746031746,0.042129170531972626
